% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 10:47
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500
0.005151515151515152      -0.00593939393939394     -513.3933955645971-158.4205184235461i
0.005454545454545455      -0.00593939393939394     -527.8263532690485-163.5887235414023i
0.005757575757575757      -0.00593939393939394     -541.2490860205598-168.59197922033317i
0.006060606060606061      -0.00593939393939394     -553.1036534133715-173.13544963973493i
0.006363636363636364      -0.00593939393939394     -561.7785055418493-177.0301451170443i
0.006666666666666666      -0.00593939393939394     -569.5149884007591-180.81428005787578i
0.0069696969696969695     -0.00593939393939394     -576.3132607804281-184.49526958377524i
0.007272727272727273      -0.00593939393939394     -580.2868651116686-187.68454525210436i
0.007575757575757576      -0.00593939393939394     -583.1999301971156-190.71432295517147i
0.00787878787878788       -0.00593939393939394     -585.300578960995-193.69727044094427i
0.008181818181818182      -0.00593939393939394     -585.7454077161113-196.70342332390837i
0.008484848484848484      -0.00593939393939394     -584.87187968636-199.4452830417581i
0.008787878787878787      -0.00593939393939394     -583.3365559227219-202.20287889425748i
0.00909090909090909       -0.00593939393939394     -580.9231738668428-205.2423423432884i
0.009393939393939394      -0.00593939393939394     -577.3124005001984-208.08977213509132i
0.009696969696969697      -0.00593939393939394     -573.1932602408561-211.00487284881328i
0.01                      -0.00593939393939394     -568.5755272467895-214.13942647923872i
0.010303030303030303      -0.00593939393939394     -563.1881166646774-217.50992934045294i
0.010606060606060607      -0.00593939393939394     -557.4030480497522-220.84504441139586i
0.01090909090909091       -0.00593939393939394     -551.2504389699999-224.28594265584735i
0.011212121212121211      -0.00593939393939394     -544.820858596359-228.2923699997794i
0.011515151515151515      -0.00593939393939394     -538.1037475295951-232.19489260555517i
0.011818181818181818      -0.00593939393939394     -531.1382182978897-236.2279552635017i
0.012121212121212121      -0.00593939393939394     -524.0838083938512-240.7700278008869i
0.012424242424242424      -0.00593939393939394     -516.9743267174393-245.29773178045684i
0.012727272727272728      -0.00593939393939394     -509.7109714358022-249.97091460456488i
0.013030303030303031      -0.00593939393939394     -502.37777795901735-255.0472481947267i
0.013333333333333332      -0.00593939393939394     -495.2514928946406-260.2334492529044i
0.013636363636363636      -0.00593939393939394     -488.0380734130621-265.54263176589666i
0.013939393939393939      -0.00593939393939394     -480.74170115654186-271.0054322362613i
0.014242424242424242      -0.00593939393939394     -473.78882495515654-276.98182044740605i
0.014545454545454545      -0.00593939393939394     -466.8407072117261-282.89925794922743i
0.014848484848484849      -0.00593939393939394     -459.8605983552842-288.97553684485877i
0.015151515151515152      -0.00593939393939394     -453.1328287225277-295.4797560588565i
