% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 08:26
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500, Switch 1=Stainless Steel
0.016969696969696968      -0.006                   -336.27557932587746-353.11010801665185i
0.017272727272727273      -0.006                   -332.909054021436-361.00983009781544i
0.017575757575757574      -0.006                   -329.5842434805607-369.0885332225826i
0.01787878787878788       -0.006                   -326.30154069686097-377.350570284887i
0.01818181818181818       -0.006                   -323.05971237687294-385.7752428509957i
0.018484848484848486      -0.006                   -319.8655137910012-394.3821526363725i
0.018787878787878787      -0.006                   -316.7213531780296-403.18827415622803i
0.019090909090909092      -0.006                   -313.6257729107769-412.1837802843174i
0.019393939393939394      -0.006                   -310.57916991641235-421.3703826050566i
0.019696969696969695      -0.006                   -307.5862055566178-430.7789880747494i
0.02                      -0.006                   -304.6468798313917-440.4095966933966i
0.020303030303030302      -0.006                   -301.7552343123127-450.2443703235043i
0.020606060606060607      -0.006                   -298.91759116354217-460.3329712614344i
0.02090909090909091       -0.006                   -296.1339503850811-470.6753995071869i
0.021212121212121213      -0.006                   -293.39904591792265-481.26000234651286i
0.021515151515151515      -0.006                   -290.71378482820273-492.1307382194605i
0.02181818181818182       -0.006                   -288.08005303767857-503.2991834545773i
0.02212121212121212       -0.006                   -285.4946306865771-514.7577689140671i
0.022424242424242423      -0.006                   -282.95198486170693-526.5450425984816i
0.022727272727272728      -0.006                   -280.4552640741726-538.690500744276i
0.02303030303030303       -0.006                   -278.0037243630992-551.1914604787856i
0.023333333333333334      -0.006                   -275.5860818308312-564.0727695790086i
0.023636363636363636      -0.006                   -273.2046694073708-577.3964645194158i
0.02393939393939394       -0.006                   -270.8594870927206-591.162545300006i
0.024242424242424242      -0.006                   -268.540203791939-605.3831756068784i
0.024545454545454544      -0.006                   -266.2408613276157-620.1571023624738i
