% Model:              FEA_current_excitation.mph
% Version:            COMSOL 6.0.0.318
% Date:               Sep 29 2022, 14:26
% Table:              Table 1 - Point Evaluation 1
% Switch 1 index         Time (s)                 Magnetic flux density, z component (T), Point: 5
1                        0.0012727272727272728    -0.0040655312072002325
1                        0.001292929292929293     -0.004284348899351085
1                        0.0013131313131313131    -0.004485914706723677
1                        0.0013333333333333333    -0.004669415927149439
1                        0.0013535353535353537    -0.004834116877652454
1                        0.0013737373737373738    -0.004979353479421069
1                        0.001393939393939394     -0.0051045358469743955
1                        0.0014141414141414141    -0.005209165980480213
1                        0.0014343434343434343    -0.005292826485198843
1                        0.0014545454545454547    -0.005355165999268714
1                        0.0014747474747474748    -0.005395939069925494
1                        0.001494949494949495     -0.005415003074723921
1                        0.0015151515151515152    -0.0054122522169504465
1                        0.0015353535353535353    -0.005387683640977987
1                        0.0015555555555555557    -0.005341461451406833
1                        0.0015757575757575758    -0.0052737408325495075
1                        0.001595959595959596     -0.005184721331586095
1                        0.0016161616161616162    -0.005074855078096055
1                        0.0016363636363636363    -0.004944590719553799
1                        0.0016565656565656567    -0.004794367144112051
1                        0.0016767676767676769    -0.004624842164197274
1                        0.001696969696969697     -0.004436735230236195
1                        0.0017171717171717172    -0.0042307278259930015
1                        0.0017373737373737373    -0.004007653913179499
1                        0.0017575757575757577    -0.003768526561685456
1                        0.0017777777777777779    -0.003514195381341933
1                        0.001797979797979798     -0.003245656729738951
1                        0.0018181818181818182    -0.0029641101360624728
1                        0.0018383838383838383    -0.0026706335552534417
1                        0.0018585858585858587    -0.002366345708312049
1                        0.0018787878787878789    -0.002052570941627884
1                        0.001898989898989899     -0.001730578182368533
1                        0.0019191919191919192    -0.00140150246015374
1                        0.0019393939393939396    -0.0010668224320788283
1                        0.0019595959595959597    -7.279249764840469E-4
1                        0.00197979797979798      -3.860169071506424E-4
1                        0.002                    -4.256226526875865E-5
2                        0                        0
2                        2.0202020202020203E-5    3.7510359979012523E-4
2                        4.0404040404040405E-5    7.685576604918204E-4
2                        6.060606060606061E-5     0.001163371825607674
2                        8.080808080808081E-5     0.0015562924775702424
2                        1.0101010101010101E-4    0.0019456065233164166
2                        1.2121212121212122E-4    0.002328221590989014
2                        1.414141414141414E-4     0.0027020162575041758
2                        1.6161616161616162E-4    0.0030655362564589207
2                        1.8181818181818183E-4    0.0034175397770385783
2                        2.0202020202020202E-4    0.00375619196351824
2                        2.2222222222222223E-4    0.004079969715159521
2                        2.4242424242424245E-4    0.004387652787118867
2                        2.6262626262626266E-4    0.00467796617308419
2                        2.828282828282828E-4     0.004949547727037085
2                        3.0303030303030303E-4    0.005201243919811339
2                        3.2323232323232324E-4    0.005432183037977068
2                        3.4343434343434346E-4    0.005641477497311311
2                        3.6363636363636367E-4    0.005827920549468769
2                        3.8383838383838383E-4    0.0059907166843132815
2                        4.0404040404040404E-4    0.0061297874082954056
2                        4.2424242424242425E-4    0.006244446512752772
2                        4.4444444444444447E-4    0.006333677453180384
2                        4.646464646464647E-4     0.006397190066396944
2                        4.848484848484849E-4     0.00643527235213739
2                        5.05050505050505E-4      0.0064476635697840266
2                        5.252525252525253E-4     0.006433814509319364
2                        5.454545454545455E-4     0.006393994000740661
2                        5.656565656565656E-4     0.00632855083617776
2                        5.858585858585859E-4     0.006237661876381047
2                        6.060606060606061E-4     0.00612160490034396
2                        6.262626262626263E-4     0.005980920238955662
2                        6.464646464646465E-4     0.00581619959624157
2                        6.666666666666666E-4     0.005628052266623854
2                        6.868686868686869E-4     0.005417203653516424
2                        7.070707070707071E-4     0.005184564594548858
2                        7.272727272727273E-4     0.0049311235739590425
2                        7.474747474747475E-4     0.004657755200690194
2                        7.676767676767677E-4     0.004365506896471593
2                        7.878787878787879E-4     0.004055826798567372
2                        8.080808080808081E-4     0.0037300389508843844
2                        8.282828282828283E-4     0.003388973678190989
2                        8.484848484848485E-4     0.0030340113578341305
2                        8.686868686868687E-4     0.002667107967560386
2                        8.888888888888889E-4     0.002289710505304215
2                        9.090909090909091E-4     0.0019028209899476256
2                        9.292929292929294E-4     0.0015080599845784825
2                        9.494949494949495E-4     0.0011075051779316396
2                        9.696969696969698E-4     7.026708106061593E-4
2                        9.8989898989899E-4       2.947261399151149E-4
2                        0.00101010101010101      -1.144543287591071E-4
2                        0.0010303030303030303    -5.229872215731003E-4
2                        0.0010505050505050506    -9.2945651636834E-4
2                        0.0010707070707070708    -0.001332412505262064
2                        0.001090909090909091     -0.001729875836812312
2                        0.0011111111111111111    -0.0021200883867081707
2                        0.0011313131313131313    -0.002501960303342871
2                        0.0011515151515151516    -0.002874124525356109
2                        0.0011717171717171718    -0.00323430297143749
2                        0.001191919191919192     -0.003581328783067466
2                        0.0012121212121212121    -0.003914140057703235
2                        0.0012323232323232323    -0.0042311639545510316
2                        0.0012525252525252527    -0.004531227193968585
2                        0.0012727272727272728    -0.004812924977785372
2                        0.001292929292929293     -0.005075369003537602
2                        0.0013131313131313131    -0.005317241405931001
2                        0.0013333333333333333    -0.005537878107873223
2                        0.0013535353535353537    -0.005735991183598301
2                        0.0013737373737373738    -0.005911288917500871
2                        0.001393939393939394     -0.006062423601962117
2                        0.0014141414141414141    -0.00618957491753778
2                        0.0014343434343434343    -0.00629120366371759
2                        0.0014545454545454547    -0.006368321497326463
2                        0.0014747474747474748    -0.006419205018463
2                        0.001494949494949495     -0.006444400863584834
2                        0.0015151515151515152    -0.0064434891151775925
2                        0.0015353535353535353    -0.006416927011233372
2                        0.0015555555555555557    -0.006364212558410878
2                        0.0015757575757575758    -0.006286277102267552
2                        0.001595959595959596     -0.006182529115658872
2                        0.0016161616161616162    -0.0060545026450062175
2                        0.0016363636363636363    -0.00590133475612443
2                        0.0016565656565656567    -0.005725344188000197
2                        0.0016767676767676769    -0.005525141387513832
2                        0.001696969696969697     -0.005304117750959505
2                        0.0017171717171717172    -0.0050599806038547235
2                        0.0017373737373737373    -0.004797628025546276
2                        0.0017575757575757577    -0.004513304257119637
2                        0.0017777777777777779    -0.0042140641910739084
2                        0.001797979797979798     -0.0038938603948411865
2                        0.0018181818181818182    -0.00356287406006692
2                        0.0018383838383838383    -0.003211545746426075
2                        0.0018585858585858587    -0.0028529760578873123
2                        0.0018787878787878789    -0.002477996339960222
2                        0.001898989898989899     -0.0020955116047732454
2                        0.0019191919191919192    -0.0017055830882440682
2                        0.0019393939393939396    -0.0013079831828962298
2                        0.0019595959595959597    -9.048941401585255E-4
2                        0.00197979797979798      -4.982615709822382E-4
2                        0.002                    -8.971482717917698E-5
3                        0                        0
3                        2.0202020202020203E-5    3.8672587934874804E-4
3                        4.0404040404040405E-5    7.892663187350475E-4
3                        6.060606060606061E-5     0.0011923360165137019
3                        8.080808080808081E-5     0.001592948913837608
