% Model:              FEA_current_excit.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 10:39
% Table:              Table 1 - Point Evaluation 1
% Switch 1 index         Time (s)                 Magnetic flux density, z component (T), Point: 5
2                        1.9191919191919191E-4    0.0035906432796774523
2                        1.9696969696969698E-4    0.0033638283075374184
2                        2.0202020202020202E-4    0.0031237670391393462
2                        2.070707070707071E-4     0.0028714110135531633
2                        2.1212121212121213E-4    0.002607730533441752
2                        2.1717171717171717E-4    0.002333807289947201
2                        2.2222222222222223E-4    0.002050748250069374
2                        2.2727272727272727E-4    0.0017596533824010077
2                        2.3232323232323234E-4    0.0014617053214954798
2                        2.3737373737373738E-4    0.0011580995891002721
2                        2.4242424242424245E-4    8.500444002826585E-4
2                        2.474747474747475E-4     5.387766350087375E-4
2                        2.525252525252525E-4     2.2554303899377948E-4
2                        2.5757575757575756E-4    -8.840130784568339E-5
2                        2.6262626262626266E-4    -4.017976233303385E-4
2                        2.676767676767677E-4     -7.13389130780254E-4
2                        2.7272727272727274E-4    -0.0010219255563025582
2                        2.777777777777778E-4     -0.0013261694501338923
2                        2.828282828282828E-4     -0.0016249007550939768
2                        2.878787878787879E-4     -0.0019169209077134464
2                        2.9292929292929295E-4    -0.0022010581072714934
2                        2.97979797979798E-4      -0.0024761726060126233
2                        3.0303030303030303E-4    -0.002741160898142151
2                        3.0808080808080807E-4    -0.002994959195656533
2                        3.1313131313131316E-4    -0.0032365493899021262
2                        3.181818181818182E-4     -0.0034649632753154845
2                        3.2323232323232324E-4    -0.0036792833886585825
2                        3.282828282828283E-4     -0.003878649178111591
2                        3.333333333333333E-4     -0.004062263983230506
2                        3.383838383838384E-4     -0.004229390611989089
2                        3.4343434343434346E-4    -0.004379354608440921
2                        3.484848484848485E-4     -0.004511560676006067
2                        3.5353535353535354E-4    -0.0046254825525367076
2                        3.585858585858586E-4     -0.004720650987657074
2                        3.6363636363636367E-4    -0.004796690987371744
2                        3.686868686868687E-4     -0.004853318298863648
2                        3.7373737373737375E-4    -0.004890280921885712
2                        3.787878787878788E-4     -0.004907428508047398
2                        3.8383838383838383E-4    -0.00490472425276876
2                        3.888888888888889E-4     -0.004882166222883545
2                        3.9393939393939396E-4    -0.004839831521104485
2                        3.98989898989899E-4      -0.004777916594897427
2                        4.0404040404040404E-4    -0.004696669803725222
2                        4.090909090909091E-4     -0.004596401395784518
2                        4.141414141414142E-4     -0.0044775328440827145
2                        4.191919191919192E-4     -0.004340550285408414
2                        4.2424242424242425E-4    -0.004185988578096336
2                        4.292929292929293E-4     -0.004014476380904624
2                        4.3434343434343433E-4    -0.0038267354985830554
2                        4.393939393939394E-4     -0.00362348840112322
2                        4.4444444444444447E-4    -0.003405543097827223
2                        4.494949494949495E-4     -0.003173825614680855
2                        4.5454545454545455E-4    -0.0029292523484308135
2                        4.595959595959596E-4     -0.00267278075622664
2                        4.646464646464647E-4     -0.002405480388714891
2                        4.696969696969697E-4     -0.0021284290661817023
2                        4.7474747474747476E-4    -0.0018427151697774987
2                        4.797979797979798E-4     -0.0015495155691044329
2                        4.848484848484849E-4     -0.001250001887672658
2                        4.898989898989899E-4     -9.453833102411404E-4
2                        4.94949494949495E-4      -6.368868927575061E-4
2                        5.0E-4                   -3.257567104163975E-4
3                        0                        0
3                        5.050505050505051E-6     2.74794505841549E-4
3                        1.0101010101010101E-5    5.596907082180049E-4
3                        1.5151515151515153E-5    8.489158565731825E-4
3                        2.0202020202020203E-5    0.0011384163102657026
3                        2.5252525252525253E-5    0.0014264870812362297
3                        3.0303030303030306E-5    0.0017108177948940918
3                        3.535353535353535E-5     0.0019906777862807885
3                        4.0404040404040405E-5    0.002264481664075902
3                        4.545454545454546E-5     0.0025312142959311823
3                        5.0505050505050505E-5    0.0027894352996908007
3                        5.555555555555556E-5     0.0030382014823828324
3                        6.060606060606061E-5     0.0032760474376288054
3                        6.565656565656566E-5     0.003501965967210604
3                        7.07070707070707E-5      0.0037149330663092707
3                        7.575757575757576E-5     0.003913999756101289
3                        8.080808080808081E-5     0.004098289568155886
3                        8.585858585858586E-5     0.004266991137070538
3                        9.090909090909092E-5     0.0044193624804888644
3                        9.595959595959596E-5     0.004554734206477709
3                        1.0101010101010101E-4    0.004672511220609726
3                        1.0606060606060606E-4    0.004772173979005495
3                        1.1111111111111112E-4    0.004853280125623784
3                        1.1616161616161617E-4    0.004915466162106277
3                        1.2121212121212122E-4    0.004958448230756302
3                        1.2626262626262626E-4    0.00498202192629847
3                        1.3131313131313133E-4    0.004986063750401213
3                        1.3636363636363637E-4    0.00497053238930458
3                        1.414141414141414E-4     0.004935465802613288
3                        1.4646464646464648E-4    0.004880981731312548
3                        1.5151515151515152E-4    0.00480728110594623
3                        1.5656565656565658E-4    0.004714642083521057
3                        1.6161616161616162E-4    0.004603415774577476
3                        1.6666666666666666E-4    0.004474036345619414
3                        1.7171717171717173E-4    0.0043270142880983496
3                        1.7676767676767677E-4    0.004162917831845002
3                        1.8181818181818183E-4    0.003982393573370501
3                        1.8686868686868687E-4    0.0037861730189199996
3                        1.9191919191919191E-4    0.0035750204010052667
3                        1.9696969696969698E-4    0.0033497562082855084
3                        2.0202020202020202E-4    0.003111315108396562
3                        2.070707070707071E-4     0.002860641861810899
3                        2.1212121212121213E-4    0.0025986998863063277
3                        2.1717171717171717E-4    0.002326563445043719
3                        2.2222222222222223E-4    0.0020453319777091273
3                        2.2727272727272727E-4    0.0017560979953641647
3                        2.3232323232323234E-4    0.0014600363364085287
3                        2.3737373737373738E-4    0.0011583346795351545
3                        2.4242424242424245E-4    8.521934011354478E-4
3                        2.474747474747475E-4     5.428414645893368E-4
3                        2.525252525252525E-4     2.3151770813016872E-4
3                        2.5757575757575756E-4    -8.05306649008874E-5
3                        2.6262626262626266E-4    -3.9205267971613407E-4
3                        2.676767676767677E-4     -7.017992665705312E-4
3                        2.7272727272727274E-4    -0.0010085277295645602
3                        2.777777777777778E-4     -0.00131100803930779
3                        2.828282828282828E-4     -0.0016080273742504455
3                        2.878787878787879E-4     -0.0018983941949822006
3                        2.9292929292929295E-4    -0.002180943480514207
3                        2.97979797979798E-4      -0.0024545419925058607
3                        3.0303030303030303E-4    -0.0027180924387464464
3                        3.0808080808080807E-4    -0.0029705369281974973
3                        3.1313131313131316E-4    -0.0032108629072674384
3                        3.181818181818182E-4     -0.0034381073574169313
3                        3.2323232323232324E-4    -0.0036513576174956883
3                        3.282828282828283E-4     -0.0038497575374104353
3                        3.333333333333333E-4     -0.004032514431628305
3                        3.383838383838384E-4     -0.004198894642713536
3                        3.4343434343434346E-4    -0.00434822680797492
3                        3.484848484848485E-4     -0.0044799182566832765
3                        3.5353535353535354E-4    -0.004593444864261024
3                        3.585858585858586E-4     -0.004688339052309228
3                        3.6363636363636367E-4    -0.004764227018954443
3                        3.686868686868687E-4     -0.004820825174185759
3                        3.7373737373737375E-4    -0.00485788169782982
3                        3.787878787878788E-4     -0.0048752459692679865
3                        3.8383838383838383E-4    -0.004872880357119408
3                        3.888888888888889E-4     -0.004850781611950817
3                        3.9393939393939396E-4    -0.004809025079842615
3                        3.98989898989899E-4      -0.00474780494202299
3                        4.0404040404040404E-4    -0.004667366802191913
3                        4.090909090909091E-4     -0.004568017728672368
3                        4.141414141414142E-4     -0.0044501755620676015
3                        4.191919191919192E-4     -0.004314322350678998
3                        4.2424242424242425E-4    -0.004160988468393884
3                        4.292929292929293E-4     -0.003990797702715057
3                        4.3434343434343433E-4    -0.003804466577772401
3                        4.393939393939394E-4     -0.003602711940955583
3                        4.4444444444444447E-4    -0.003386335886241947
3                        4.494949494949495E-4     -0.0031562581540767794
3                        4.5454545454545455E-4    -0.0029133885788885433
3                        4.595959595959596E-4     -0.002658677840026083
3                        4.646464646464647E-4     -0.002393188450464495
3                        4.696969696969697E-4     -0.002117990969058031
3                        4.7474747474747476E-4    -0.0018341663835819474
3                        4.797979797979798E-4     -0.0015428840228048739
3                        4.848484848484849E-4     -0.0012453078462454563
3                        4.898989898989899E-4     -9.426392885167307E-4
3                        4.94949494949495E-4      -6.36097604451893E-4
3                        5.0E-4                   -3.269190442804627E-4
4                        0                        0
4                        5.050505050505051E-6     2.709239692712239E-4
4                        1.0101010101010101E-5    5.497566566059068E-4
4                        1.5151515151515153E-5    8.31785014829698E-4
4                        2.0202020202020203E-5    0.0011136054024495044
4                        2.5252525252525253E-5    0.001393749163473896
4                        3.0303030303030306E-5    0.0016700043101650522
4                        3.535353535353535E-5     0.0019416814910546063
4                        4.0404040404040405E-5    0.0022073093894020095
4                        4.545454545454546E-5     0.002465938179375457
4                        5.0505050505050505E-5    0.0027162032742883294
4                        5.555555555555556E-5     0.002957238590428975
4                        6.060606060606061E-5     0.0031876432543002558
4                        6.565656565656566E-5     0.003406461006172598
4                        7.07070707070707E-5      0.0036127118336682627
4                        7.575757575757576E-5     0.003805486613871599
