% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Oct 27 2022, 09:05
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Liver
0.011818181818181818      -0.006                   2.7936998719782515E-5-8.240364256404145E-5i
0.012121212121212121      -0.006                   2.7663843506287858E-5-8.159793827804488E-5i
0.012424242424242424      -0.006                   2.7373876233413498E-5-8.074264472596395E-5i
0.012727272727272728      -0.006                   2.7068321847448238E-5-7.984137503673246E-5i
0.013030303030303031      -0.006                   2.674724274708557E-5-7.889431326301974E-5i
0.013333333333333332      -0.006                   2.641454948149671E-5-7.791299405042583E-5i
0.013636363636363636      -0.006                   2.6072471574859563E-5-7.690399365385621E-5i
0.013939393939393939      -0.006                   2.5721009027174136E-5-7.586731207331097E-5i
0.014242424242424242      -0.006                   2.5361941866510677E-5-7.480819972097376E-5i
0.014545454545454545      -0.006                   2.4998243806871735E-5-7.373542793187375E-5i
0.014848484848484849      -0.006                   2.4629948589579168E-5-7.264909623009453E-5i
0.015151515151515152      -0.006                   2.425764195022572E-5-7.155093231517495E-5i
0.015454545454545455      -0.006                   2.388399423638256E-5-7.044881270648429E-5i
0.01575757575757576       -0.006                   2.3509309828314044E-5-6.934363521094014E-5i
0.01606060606060606       -0.006                   2.3133688169060284E-5-6.823569314814333E-5i
0.016363636363636365      -0.006                   2.2758958366031063E-5-6.713038169667502E-5i
0.016666666666666666      -0.006                   2.2385743165925696E-5-6.602953772465133E-5i
0.016969696969696968      -0.006                   2.2014042568744153E-5-6.493316123207229E-5i
0.017272727272727273      -0.006                   2.1644747588900824E-5-6.384388037668913E-5i
0.017575757575757574      -0.006                   2.1278732001865164E-5-6.276427246745491E-5i
0.01787878787878788       -0.006                   2.091598447910307E-5-6.169430408943E-5i
0.01818181818181818       -0.006                   2.0556808261439824E-5-6.06348696893286E-5i
0.018484848484848486      -0.006                   2.0202015896098176E-5-5.958836597647697E-5i
0.018787878787878787      -0.006                   1.9851633629402317E-5-5.85548703676232E-5i
0.019090909090909092      -0.006                   1.9505731243858834E-5-5.753458869505842E-5i
0.019393939393939394      -0.006                   1.9164847454489543E-5-5.652910996650768E-5i
0.019696969696969695      -0.006                   1.8829059412504063E-5-5.5538661749139565E-5i
0.02                      -0.006                   1.849836711790239E-5-5.4563244042954064E-5i
0.020303030303030302      -0.006                   1.8173049573669175E-5-5.360367980282351E-5i
0.020606060606060607      -0.006                   1.7853180874945592E-5-5.266018758198758E-5i
0.02090909090909091       -0.006                   1.7538761021731696E-5-5.173276738044643E-5i
0.021212121212121213      -0.006                   1.7229874976794395E-5-5.082166980695373E-5i
0.021515151515151515      -0.006                   1.6926573273081024E-5-4.9927043915618177E-5i
0.02181818181818182       -0.006                   1.662883698323008E-5-4.904883387782528E-5i
0.02212121212121212       -0.006                   1.63366876974277E-5-4.8187103376715904E-5i
0.022424242424242423      -0.006                   1.6050103222847442E-5-4.734178695284694E-5i
