% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 23 2022, 13:21
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=2E6                              mf.By (T) @ freq=2E6                              mf.Bz (T) @ freq=2E6
-0.00781818181818182      0                        0.0015                   0.0011020664037554213+3.5415521386610693E-9i      8.612317656731829E-6-8.085248140777255E-11i       -7.439090058277325E-4-1.846707372454415E-9i
-0.007454545454545455     0                        0.0015                   0.0013285560201383424+2.8627332571546515E-9i      -5.453981048421852E-7+1.168827299225218E-11i      -6.832431270651707E-4-2.8900266742684245E-9i
-0.007090909090909092     0                        0.0015                   0.0016377325638663883+1.7497882255705427E-9i      1.2171068213771494E-5-2.7714311137753917E-11i     -7.774033109358112E-4-3.109802083778443E-9i
-0.006727272727272728     0                        0.0015                   0.002032687437270358+2.254824085436494E-10i       -1.7249632314407862E-5+1.0236979676600036E-10i    -8.176688929950691E-4-3.7006995600243377E-9i
-0.006363636363636365     0                        0.0015                   0.002555535560634663-1.9600946838814207E-9i       -1.6752143744157722E-5+1.994677169339679E-10i     -6.744944288775501E-4-5.14062018450913E-9i
-0.006000000000000002     0                        0.0015                   0.0030790849627738157-3.80702613732965E-9i        5.0949711666529096E-5-1.9641476804311328E-10i     5.9910020264938586E-5-8.67780921786793E-9i
-0.005636363636363637     0                        0.0015                   0.003312320238413912-4.7363356821888986E-9i       5.2197389118083514E-5-2.0117828357119545E-10i     3.2606472095101735E-4-1.105676911860325E-8i
-0.005272727272727274     0                        0.0015                   0.00443409198637392-9.539306499284936E-9i         -2.0808131473875794E-5+1.0364363400471109E-10i    8.667481949781563E-4-1.3881819904338176E-8i
-0.00490909090909091      0                        0.0015                   0.004549393996018411-1.0301302694133539E-8i       5.466984698564189E-6-1.1408948180917069E-11i      0.0020328998501828845-1.938113451061809E-8i
-0.004545454545454547     0                        0.0015                   0.0045896417805410435-1.0732879773748509E-8i      -8.105217930318178E-6+3.471447951405153E-11i      0.0029924997583771857-2.4178381551180497E-8i
-0.004181818181818182     0                        0.0015                   0.00432731978204767-9.970808299456609E-9i         -1.4481579548394354E-5+5.746363733359985E-11i     0.004271628586581348-3.0244555427553046E-8i
-0.0038181818181818195    0                        0.0015                   0.003760324344044028-8.009760837498036E-9i        -2.9473741086471616E-6+3.4711464206246158E-12i    0.0051227222520019225-3.450465947033618E-8i
-0.003454545454545455     0                        0.0015                   0.0031794682239104834-6.2634988718395656E-9i      -1.1250010723793573E-5+2.2137571623465842E-11i    0.005151067384998412-3.5308766038414916E-8i
-0.003090909090909092     0                        0.0015                   0.002598612103776949-4.5172369061810685E-9i       -1.95526473389376E-5+4.08039968262442E-11i        0.005179412517994892-3.611287260649339E-8i
-0.0027272727272727275    0                        0.0015                   0.002117716341916962-3.1384776037322966E-9i       -1.522652459718249E-4+1.0925476004019337E-9i      0.005242525190622261-3.700156956512784E-8i
-0.002363636363636363     0                        0.0015                   0.0016641388356283537-1.7164606478244909E-9i      1.0840168037293957E-5-9.179445948662665E-11i      0.005320742119734592-3.792015785636624E-8i
-0.0020000000000000018    0                        0.0015                   0.0013690914493528971-1.306146680935883E-9i       2.0258075403000245E-5-4.298565990053337E-11i      0.005351148286939339-3.8630946592824734E-8i
-0.0016363636363636372    0                        0.0015                   0.0010740440630774334-8.958327140472447E-10i      2.9675982768706533E-5+5.823139685579772E-12i      0.005381554454144075-3.93417353292831E-8i
-0.0012727272727272726    0                        0.0015                   7.742100622204026E-4-3.4149262942034384E-10i      1.20014205473517E-5+3.97574188439464E-12i         0.005347962421924197-3.967817079608361E-8i
-9.09090909090908E-4      0                        0.0015                   5.454252323164154E-4-1.5359428221709646E-10i      6.484939629270239E-6+5.297993862747089E-11i       0.005311419555682147-3.9727609003866846E-8i
-5.454545454545469E-4     0                        0.0015                   3.303282957863906E-4+5.138070597435178E-11i       2.841462392850092E-6+9.13491276140105E-11i        0.005305592671532542-3.9728711422171897E-8i
-1.818181818181823E-4     0                        0.0015                   1.0597383027946723E-4-3.0770172530091984E-12i     -5.010976834703411E-6+5.626720225877361E-12i      0.005291584491142013-3.983459019403416E-8i
1.818181818181823E-4      0                        0.0015                   -1.1887640790060258E-4+1.3224039902287933E-12i    -1.3348884119266345E-5-2.8072553823564082E-11i    0.005280263642793507-3.991850263785641E-8i
5.454545454545434E-4      0                        0.0015                   -3.327459983971464E-4+3.925190355140652E-11i      -1.0153464229999652E-5-4.75558329098626E-11i      0.005292306222064266-3.988111290894372E-8i
9.09090909090908E-4       0                        0.0015                   -5.466155888936937E-4+7.718140311256936E-11i      -6.958044340733827E-6-6.703911199614385E-11i      0.005304348801335022-3.984372318003101E-8i
0.0012727272727272726     0                        0.0015                   -7.661978729661846E-4+2.481910814336161E-10i      -2.2235969308605393E-5-1.2461176265778965E-10i    0.005339030885995071-3.9801402752889374E-8i
0.0016363636363636372     0                        0.0015                   -0.0010752341001707111+7.534670028852318E-10i     -4.9383851651293824E-5+5.732359267327324E-11i     0.0053889911071836665-3.948188761481007E-8i
