% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 28 2022, 16:30
% Dimension:          3
% Nodes:              400
% Expressions:        1
% Description:        Current density norm
% Length unit:        m
% x                       y                        z                        mf.normJ (A/m^2) @ freq=500, Material Switch 1=Stainless Steel
0.002842105263157896      -0.012315789473684212    -5.0E-4                  9803.888410883736
0.004736842105263157      -0.012315789473684212    -5.0E-4                  8823.602307790168
0.006631578947368419      -0.012315789473684212    -5.0E-4                  7569.094863958573
0.008526315789473684      -0.012315789473684212    -5.0E-4                  6234.086919190616
0.010421052631578949      -0.012315789473684212    -5.0E-4                  4952.707676903705
0.01231578947368421       -0.012315789473684212    -5.0E-4                  3788.7329096843578
0.014210526315789472      -0.012315789473684212    -5.0E-4                  2790.256300755139
0.016105263157894734      -0.012315789473684212    -5.0E-4                  1964.7490513780153
0.018000000000000002      -0.012315789473684212    -5.0E-4                  0.0030604485638617792
-0.018000000000000002     -0.010421052631578949    -5.0E-4                  2114.8263973528647
-0.01610526315789474      -0.010421052631578949    -5.0E-4                  2817.491283604617
