% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 00:26
% Dimension:          3
% Nodes:              500
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=500, Material Switch 1=Air       mf.By (T) @ freq=500, Material Switch 1=Air       mf.Bz (T) @ freq=500, Material Switch 1=Air
-0.01599198396793587      0                        0.0015                   4.2823130704040574E-5-1.8209155579134274E-10i     -5.228351430468193E-7+2.1173606385882047E-12i     -1.3495710386365856E-4+5.689736065068871E-10i
-0.015911823647294588     0                        0.0015                   4.375820767622157E-5-1.8603337875603016E-10i      -4.096034832114714E-7+1.6431390008577762E-12i     -1.3748098767964287E-4+5.793673233155143E-10i
-0.015831663326653308     0                        0.0015                   4.469328464840234E-5-1.8997520172071385E-10i      -2.963718233755814E-7+1.1689173631263138E-12i     -1.4000487149562696E-4+5.89761040124144E-10i
-0.015751503006012024     0                        0.0015                   4.562836162058301E-5-1.939170246853992E-10i       -1.8314016354001664E-7+6.946957253960921E-13i     -1.4252875531161214E-4+6.001547569327712E-10i
-0.01567134268537074      0                        0.0015                   4.656343859276411E-5-1.9785884765008247E-10i      -6.99085037045332E-8+2.2047408766576702E-13i      -1.450526391275958E-4+6.105484737413955E-10i
-0.015591182364729459     0                        0.0015                   4.749851556494489E-5-2.0180067061476947E-10i      4.3323156131180635E-8-2.5374755006528184E-13i     -1.4757652294358032E-4+6.20942190550024E-10i
-0.015511022044088177     0                        0.0015                   4.843359253712512E-5-2.0574249357945275E-10i      1.5655481596673184E-7-7.279691877956715E-13i      -1.501004067595642E-4+6.31335907358651E-10i
-0.015430861723446893     0                        0.0015                   4.9368669509305464E-5-2.09684316544141E-10i       2.697864758024931E-7-1.2021908255264748E-12i      -1.5262429057554856E-4+6.41729624167278E-10i
-0.015350701402805611     0                        0.0015                   5.030374648148678E-5-2.13626139508828E-10i        3.8301813563783424E-7-1.6764124632560503E-12i     -1.5514817439153287E-4+6.521233409759028E-10i
-0.01527054108216433      0                        0.0015                   5.123882345366723E-5-2.175679624735121E-10i       4.962497954736158E-7-2.15063410098834E-12i        -1.5767205820751772E-4+6.625170577845328E-10i
