% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.004545454545454545      -0.00593939393939394     -50705.55168586513-15303.994015755987i
0.0048484848484848485     -0.00593939393939394     -52631.21382367785-15404.296247359136i
0.005151515151515152      -0.00593939393939394     -54324.19404046064-15361.291859292745i
0.005454545454545455      -0.00593939393939394     -55787.169314502265-15194.85984127431i
0.005757575757575757      -0.00593939393939394     -57027.34314179898-14912.387461232718i
0.006060606060606061      -0.00593939393939394     -58042.56465482879-14511.907104493352i
0.006363636363636364      -0.00593939393939394     -58834.10989423406-13998.58914932674i
0.006666666666666666      -0.00593939393939394     -59420.17836300692-13395.942713908174i
0.0069696969696969695     -0.00593939393939394     -59800.972738672-12704.558220539204i
0.007272727272727273      -0.00593939393939394     -59979.66975372899-11930.651839251315i
0.007575757575757576      -0.00593939393939394     -59979.68544380458-11094.381406799224i
0.00787878787878788       -0.00593939393939394     -59804.09423100146-10202.026219409056i
0.008181818181818182      -0.00593939393939394     -59457.980122707224-9263.773192663217i
0.008484848484848484      -0.00593939393939394     -58964.48935056236-8289.452299546227i
0.008787878787878787      -0.00593939393939394     -58332.21351517024-7292.529783336192i
0.00909090909090909       -0.00593939393939394     -57564.94105019812-6282.947217810502i
0.009393939393939394      -0.00593939393939394     -56682.75929805015-5261.8201451281i
0.009696969696969697      -0.00593939393939394     -55700.34487870875-4246.895179728754i
0.01                      -0.00593939393939394     -54619.20436712694-3242.8629258319265i
0.010303030303030303      -0.00593939393939394     -53455.88843809555-2256.67751696735i
0.010606060606060607      -0.00593939393939394     -52227.211581852425-1293.4701720899036i
0.01090909090909091       -0.00593939393939394     -50934.53648903847-357.841786298084i
0.011212121212121211      -0.00593939393939394     -49589.73100057954+536.4122555884074i
0.011515151515151515      -0.00593939393939394     -48209.06315029843+1398.2193704398626i
0.011818181818181818      -0.00593939393939394     -46795.73861309448+2219.133833141748i
0.012121212121212121      -0.00593939393939394     -45355.355680699+2989.692766000166i
0.012424242424242424      -0.00593939393939394     -43903.21680672837+3720.126372559183i
0.012727272727272728      -0.00593939393939394     -42443.665043075576+4403.5654815540765i
0.013030303030303031      -0.00593939393939394     -40978.720027466516+5033.808057029918i
0.013333333333333332      -0.00593939393939394     -39520.27983369524+5619.204884031918i
0.013636363636363636      -0.00593939393939394     -38073.276477228814+6157.866002139731i
0.013939393939393939      -0.00593939393939394     -36637.849898906294+6649.037447997273i
0.014242424242424242      -0.00593939393939394     -35223.06566923722+7086.167612501309i
0.014545454545454545      -0.00593939393939394     -33832.504027244686+7484.255523257572i
0.014848484848484849      -0.00593939393939394     -32466.77623359313+7838.186225352182i
0.015151515151515152      -0.00593939393939394     -31129.973433496656+8142.977468126901i
0.015454545454545455      -0.00593939393939394     -29826.514074857132+8412.397425327075i
0.01575757575757576       -0.00593939393939394     -28556.28965861699+8643.220750271781i
0.01606060606060606       -0.00593939393939394     -27320.85960025448+8831.299383591995i
0.016363636363636365      -0.00593939393939394     -26124.0123088449+8988.384780179711i
0.016666666666666666      -0.00593939393939394     -24964.939171845184+9113.398813330497i
0.016969696969696968      -0.00593939393939394     -23843.722131422808+9205.92894431502i
0.017272727272727273      -0.00593939393939394     -22764.21621516426+9265.933652961337i
