% Model,disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 2 2022, 14:12"
% Dimension,2
% Nodes,2822
% Expressions,2
% Description,"Magnetic flux density, z component, Magnetic flux density, r component"
% Length unit,m
% r,z,mf.Bz (T) @ freq=5000,mf.Br (T) @ freq=5000
0.030087144021054463,-0.005151389630004872,6.347201955898246E-6-7.911898529586756E-7i,1.0267877833711145E-6+2.0377365244704675E-7i
0.03,-0.004999999999999985,6.605996207066036E-6-9.386165137342513E-7i,9.366391145559867E-7+1.1970374366439813E-7i
0.030089296214526783,-0.005051163881099696,6.451559376730597E-6-8.829563152785297E-7i,9.046215735285901E-7+2.0287502800269438E-7i
0.03,-0.004899999999999986,6.698954449534241E-6-1.041022735200375E-6i,8.251229630067695E-7+1.3589991703524815E-7i
0.03009289447058136,-0.004951034631588939,6.549506887236497E-6-9.746012835312657E-7i,7.885593166553139E-7+2.1569619020937689E-7i
0.03,-0.004799999999999987,6.790109167766736E-6-1.1417588687904123E-6i,7.221216851145556E-7+1.6366942925371633E-7i
0.030096109719409996,-0.004852047853138365,6.644268419474367E-6-1.0640166387792374E-6i,6.812996139657705E-7+2.391374478885672E-7i
0.03,-0.004699999999999986,6.881134972372751E-6-1.2403046082186446E-6i,6.271640124065628E-7+2.0209212495454057E-7i
0.030096555370403223,-0.0047524105136665966,6.741393654214912E-6-1.1532544314776832E-6i,5.82769794277758E-7+2.7047114092354026E-7i
0.03,-0.004599999999999987,6.973599325720043E-6-1.3361923088443128E-6i,5.39731619978809E-7+2.5043186578563607E-7i
0.030096080346563393,-0.004652204911813534,6.840108625228667E-6-1.2416180624950674E-6i,4.909163758001691E-7+3.1095782692902825E-7i
0.02972742428567211,-0.005999999999999999,3.873465706867944E-6-1.1358275046604958E-6i,3.3610821513730473E-6+1.1098842679190443E-6i
0.029802928987753025,-0.006165070141094599,3.790922327125539E-6-9.57950456893694E-7i,2.777609467063678E-6+8.813000034884412E-7i
0.03,-0.0044999999999999875,7.068975929301717E-6-1.429048985527086E-6i,4.591943689727998E-7+3.080575697729302E-7i
